dates;value;id
31/01/1947;21.48;1
28/02/1947;21.62;1
31/03/1947;22;1
30/04/1947;22;1
31/05/1947;21.95;1
30/06/1947;22.08;1
31/07/1947;22.23;1
31/08/1947;22.4;1
30/09/1947;22.84;1
31/10/1947;22.91;1
30/11/1947;23.06;1
31/12/1947;23.41;1
31/01/1948;23.68;1
29/02/1948;23.67;1
31/03/1948;23.5;1
30/04/1948;23.82;1
31/05/1948;24.01;1
30/06/1948;24.15;1
31/07/1948;24.4;1
31/08/1948;24.43;1
30/09/1948;24.36;1
31/10/1948;24.31;1
30/11/1948;24.16;1
31/12/1948;24.05;1
31/01/1949;24.01;1
28/02/1949;23.91;1
31/03/1949;23.91;1
30/04/1949;23.92;1
31/05/1949;23.91;1
30/06/1949;23.92;1
31/07/1949;23.7;1
31/08/1949;23.7;1
30/09/1949;23.75;1
31/10/1949;23.67;1
30/11/1949;23.7;1
31/12/1949;23.61;1
31/01/1950;23.51;1
28/02/1950;23.61;1
31/03/1950;23.64;1
30/04/1950;23.65;1
31/05/1950;23.77;1
30/06/1950;23.88;1
31/07/1950;24.07;1
31/08/1950;24.2;1
30/09/1950;24.34;1
31/10/1950;24.5;1
30/11/1950;24.6;1
31/12/1950;24.98;1
31/01/1951;25.38;1
28/02/1951;25.83;1
31/03/1951;25.88;1
30/04/1951;25.92;1
31/05/1951;25.99;1
30/06/1951;25.93;1
31/07/1951;25.91;1
31/08/1951;25.86;1
30/09/1951;26.03;1
31/10/1951;26.16;1
30/11/1951;26.32;1
31/12/1951;26.47;1
31/01/1952;26.45;1
29/02/1952;26.41;1
31/03/1952;26.39;1
30/04/1952;26.46;1
31/05/1952;26.47;1
30/06/1952;26.53;1
31/07/1952;26.68;1
31/08/1952;26.69;1
30/09/1952;26.63;1
31/10/1952;26.69;1
30/11/1952;26.69;1
31/12/1952;26.71;1
31/01/1953;26.64;1
28/02/1953;26.59;1
31/03/1953;26.63;1
30/04/1953;26.69;1
31/05/1953;26.7;1
30/06/1953;26.77;1
31/07/1953;26.79;1
31/08/1953;26.85;1
30/09/1953;26.89;1
31/10/1953;26.95;1
30/11/1953;26.85;1
31/12/1953;26.87;1
31/01/1954;26.94;1
28/02/1954;26.99;1
31/03/1954;26.93;1
30/04/1954;26.86;1
31/05/1954;26.93;1
30/06/1954;26.94;1
31/07/1954;26.86;1
31/08/1954;26.85;1
30/09/1954;26.81;1
31/10/1954;26.72;1
30/11/1954;26.78;1
31/12/1954;26.77;1
31/01/1955;26.77;1
28/02/1955;26.82;1
31/03/1955;26.79;1
30/04/1955;26.79;1
31/05/1955;26.77;1
30/06/1955;26.71;1
31/07/1955;26.76;1
31/08/1955;26.72;1
30/09/1955;26.85;1
31/10/1955;26.82;1
30/11/1955;26.88;1
31/12/1955;26.87;1
31/01/1956;26.83;1
29/02/1956;26.86;1
31/03/1956;26.89;1
30/04/1956;26.93;1
31/05/1956;27.03;1
30/06/1956;27.15;1
31/07/1956;27.29;1
31/08/1956;27.31;1
30/09/1956;27.35;1
31/10/1956;27.51;1
30/11/1956;27.51;1
31/12/1956;27.63;1
31/01/1957;27.67;1
28/02/1957;27.8;1
31/03/1957;27.86;1
30/04/1957;27.93;1
31/05/1957;28;1
30/06/1957;28.11;1
31/07/1957;28.19;1
31/08/1957;28.28;1
30/09/1957;28.32;1
31/10/1957;28.32;1
30/11/1957;28.41;1
31/12/1957;28.47;1
31/01/1958;28.64;1
28/02/1958;28.7;1
31/03/1958;28.87;1
30/04/1958;28.94;1
31/05/1958;28.94;1
30/06/1958;28.91;1
31/07/1958;28.89;1
31/08/1958;28.94;1
30/09/1958;28.91;1
31/10/1958;28.91;1
30/11/1958;28.95;1
31/12/1958;28.97;1
31/01/1959;29.01;1
28/02/1959;29;1
31/03/1959;28.97;1
30/04/1959;28.98;1
31/05/1959;29.04;1
30/06/1959;29.11;1
31/07/1959;29.15;1
31/08/1959;29.18;1
30/09/1959;29.25;1
31/10/1959;29.35;1
30/11/1959;29.35;1
31/12/1959;29.41;1
31/01/1960;29.37;1
29/02/1960;29.41;1
31/03/1960;29.41;1
30/04/1960;29.54;1
31/05/1960;29.57;1
30/06/1960;29.61;1
31/07/1960;29.55;1
31/08/1960;29.61;1
30/09/1960;29.61;1
31/10/1960;29.75;1
30/11/1960;29.78;1
31/12/1960;29.81;1
31/01/1961;29.84;1
28/02/1961;29.84;1
31/03/1961;29.84;1
30/04/1961;29.81;1
31/05/1961;29.84;1
